Contributor_login;repository_name;average_issues_comments_length;average_time_to_close_issues;issues_closed;issues_opened;issues_participated;issues_closed_per_day;average_comments_per_issue;early_additions;early_deletions;late_additions;late_deletions;change_bursts;biggest_burst_length;inactive_period_within_active_period;tot_additions;tot_deletions;activity_period_in_days;total_file_additions;total_file_deletions;total_file_modifications;total_file_changes;commits_authored;total_lines_of_code_changed;violations_added;violations_eliminated
muriloq;xetorthio/jedis;NA;NA;0;2;0;0.0;NA;3107;919;0;0;0;1;0.0;3107;1838;1;0;0;8;8;3;0;0;0
pashields;xetorthio/jedis;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;1;0;3;4;3;0;0;0
renhua91;xetorthio/jedis;157.2;NA;0;1;1;0.0;5.0;5;0;5;1;0;1;0.0;10;2;2;0;0;3;3;3;0;0;0
tgyurci;xetorthio/jedis;120.0;NA;0;3;1;0.0;1.0;37;2;3;3;0;1;0.975;43;22;120;0;0;6;6;3;54;7;0
rdifalco;xetorthio/jedis;809.833333333;0.540833333333;1;6;4;0.000376222723853;1.5;189;228;15;7;0;1;0.0;204;470;2;1;0;12;13;3;838;27;20
smartwjw;xetorthio/jedis;226.714285714;NA;0;2;2;0.0;3.5;404;373;0;0;0;1;0.0;404;746;1;0;0;4;4;3;0;0;0
ibuildthecloud;xetorthio/jedis;639.333333333;NA;0;3;2;0.0;1.5;1;1;13;0;0;1;0.990654205607;54;10;321;1;0;4;5;3;0;0;0
hgschmie;xetorthio/jedis;177.0;NA;0;3;1;0.0;1.0;20;2;141;8;0;1;0.904761904762;161;20;21;2;0;7;9;3;0;0;0
antonio-tomac;xetorthio/jedis;41.0;0.110277777778;1;3;1;0.000376222723853;2.0;0;0;0;0;0;0;100;0;0;0;1;0;2;3;3;35;12;0
AlanKrueger;xetorthio/jedis;NA;NA;0;2;0;0.0;NA;52;66;0;0;0;1;0.0;52;132;1;0;0;6;6;2;0;0;0
avram;xetorthio/jedis;235.75;NA;0;1;3;0.0;1.33333333333;6;6;0;0;0;1;0.0;6;12;1;0;0;2;2;2;12;0;0
thesmith;xetorthio/jedis;3.0;NA;0;2;1;0.0;1.0;1;1;11;0;0;1;0.990610328638;12;2;213;0;0;3;3;2;0;0;0
etreworgy;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;222;2;3403;3357;0;1;0.955555555556;3625;6718;45;16;1;37;54;2;0;0;0
graemerocher;xetorthio/jedis;68.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;4;0;1;5;2;0;0;0
sheinbergon;xetorthio/jedis;307.011904762;8.182;5;7;28;0.00188111361926;3.0;0;0;0;0;0;0;100;0;0;0;1;0;8;9;2;137;13;2
idyedov;xetorthio/jedis;309.444444444;17.0669444444;1;6;5;0.000376222723853;1.8;89;85;21;2;0;1;0.993243243243;110;174;296;0;0;6;6;2;0;0;0
nigelzor;xetorthio/jedis;185.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;21;21;2;0;0;0
r0main;xetorthio/jedis;542.777777778;NA;0;2;2;0.0;4.5;0;0;0;0;0;0;100;0;0;0;1;0;5;6;2;57;0;0
sunsuk7tp;xetorthio/jedis;65.8333333333;NA;0;3;4;0.0;1.5;0;0;0;0;0;0;100;0;0;0;0;0;11;11;2;91;24;0
sehugg;xetorthio/jedis;63.6666666667;NA;0;3;3;0.0;1.0;2;0;0;0;0;1;0.0;2;0;1;1;0;1;2;2;0;0;0
Tavio;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;41;13;0;0;0;1;0.0;41;26;1;0;0;14;14;2;54;17;0
UglyTroLL;xetorthio/jedis;72.2857142857;7.55576388889;4;5;4;0.00150489089541;1.75;18;10;0;0;0;1;0.0;18;20;1;0;0;4;4;2;0;0;0
smagellan;xetorthio/jedis;170.142857143;NA;0;4;3;0.0;2.33333333333;0;0;0;0;0;0;100;0;0;0;2;0;7;9;2;166;20;2
vsoskov;xetorthio/jedis;48.0;NA;0;2;1;0.0;1.0;93;4;0;0;0;1;0.0;93;8;1;0;0;7;7;2;0;0;0
anthonyu;xetorthio/jedis;26.5;NA;0;1;2;0.0;1.0;162;66;0;0;0;1;0.0;162;132;1;0;0;5;5;2;0;0;0
nilskp;xetorthio/jedis;205.375;NA;0;2;3;0.0;2.66666666667;22;17;4;5;0;1;0.0;26;44;2;0;0;2;2;2;0;0;0
ricardorames;xetorthio/jedis;NA;0.0438888888889;1;2;0;0.000376222723853;NA;41;1;0;0;0;1;0.0;41;2;1;0;0;2;2;2;42;13;0
serge-groshev;xetorthio/jedis;464.666666667;0.201666666667;1;3;1;0.000376222723853;6.0;8;6;2;5;0;1;0.948717948718;10;22;39;0;0;2;2;2;21;1;1
wantedlzx;xetorthio/jedis;96.0;4.22055555556;1;6;1;0.000376222723853;1.0;0;0;0;0;0;0;100;0;0;0;0;0;3;3;2;28;1;1
ianjoneill;xetorthio/jedis;178.333333333;0.0202777777778;1;4;2;0.000376222723853;1.5;43;1;0;30;0;1;0.333333333333;43;62;3;0;0;11;11;2;74;11;6
xuwei-k;xetorthio/jedis;51.0;NA;0;2;2;0.0;1.0;5;0;0;0;0;1;0.0;5;0;1;0;0;2;2;2;0;0;0
amalloy;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;6;6;0;0;0;1;0.0;6;12;1;0;0;1;1;1;0;0;0
pushkyn;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
Alwayswithme;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;167;167;0;0;0;1;0.0;167;334;1;0;0;4;4;1;334;0;158
2bitoperations;xetorthio/jedis;188.6;NA;0;2;2;0.0;2.5;24;8;0;0;0;1;0.0;24;16;1;0;0;2;2;1;32;3;1
manolama;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;3;0;0
kutzi;xetorthio/jedis;203.235294118;NA;0;2;2;0.0;8.5;0;0;0;0;0;0;100;0;0;0;0;0;5;5;1;152;38;16
Anisotrop;xetorthio/jedis;673.222222222;23.6633333333;1;5;4;0.000376222723853;2.25;0;0;0;0;0;0;100;0;0;0;0;0;4;4;1;52;19;7
cbonte;xetorthio/jedis;NA;NA;0;2;0;0.0;NA;3;3;0;0;0;1;0.0;3;6;1;0;0;1;1;1;0;0;0
ldsimonassi;xetorthio/jedis;296.333333333;NA;0;1;2;0.0;1.5;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
dustinlineweber;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
EdwardLee03;xetorthio/jedis;261.594594595;6.60453703704;3;8;10;0.00112866817156;3.7;73;2;0;0;0;1;0.0;73;4;1;0;0;2;2;1;75;30;0
ecoffey;xetorthio/jedis;167.75;NA;0;1;3;0.0;1.33333333333;0;0;0;0;0;0;100;0;0;0;0;0;3;3;1;0;0;0
eujern;xetorthio/jedis;68.0;4.09694444444;2;4;2;0.000752445447705;1.0;5;0;0;0;0;1;0.0;5;0;1;0;0;1;1;1;0;0;0
evra;xetorthio/jedis;1563.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
ghais;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
GotoFinal;xetorthio/jedis;224.666666667;NA;0;2;1;0.0;3.0;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
arrowgtam;xetorthio/jedis;NA;NA;0;0;0;0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
hkaya;xetorthio/jedis;88.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
harshmoorjani;xetorthio/jedis;47.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;4;0;0
malomalo;xetorthio/jedis;92.6666666667;NA;0;1;1;0.0;3.0;14;4;0;0;0;1;0.0;14;8;1;0;0;1;1;1;0;0;0
juliomucor;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;3;0;0
gigq;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;5;5;0;0;0;1;0.0;5;10;1;0;0;2;2;1;0;0;0
kennethjor;xetorthio/jedis;395.0;23.3577777778;1;4;1;0.000376222723853;5.0;82;23;0;0;0;1;0.0;82;46;1;0;0;1;1;1;105;0;0
atty303;xetorthio/jedis;75.0;NA;0;1;1;0.0;1.0;8;1;0;0;0;1;0.0;8;2;1;0;0;1;1;1;9;0;0
lstrojny;xetorthio/jedis;76.3333333333;NA;0;2;3;0.0;2.0;27;0;0;0;0;1;0.0;27;0;1;0;0;5;5;1;0;0;0
koron;xetorthio/jedis;158.666666667;22.6027777778;1;2;1;0.000376222723853;3.0;167;4;0;0;0;1;0.0;167;8;1;1;0;9;10;1;0;0;0
hamsterready;xetorthio/jedis;362.0;NA;0;2;4;0.0;2.5;212;1;0;0;0;1;0.0;212;2;1;1;0;4;5;1;0;0;0
mp911de;xetorthio/jedis;468.789473684;NA;0;4;22;0.0;1.72727272727;0;0;0;0;0;0;100;0;0;0;0;0;2;2;1;13;0;0
mathieuboniface;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
maximbaz;xetorthio/jedis;83.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;2;2;1;14;2;0
maxd;xetorthio/jedis;111.0;NA;0;1;1;0.0;1.0;43;22;0;0;0;1;0.0;43;44;1;0;0;3;3;1;65;5;1
mayank-kakodkar;xetorthio/jedis;128.5;NA;0;1;1;0.0;2.0;2;2;0;0;0;1;0.0;2;4;1;0;0;1;1;1;0;0;0
michaelcameron;xetorthio/jedis;675.333333333;NA;0;2;2;0.0;1.5;39;14;0;0;0;1;0.0;39;28;1;0;0;3;3;1;0;0;0
mrorii;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;2;0;0
OgmaJ;xetorthio/jedis;440.5;NA;0;3;1;0.0;2.0;85;0;0;0;0;1;0.0;85;0;1;0;0;1;1;1;85;21;17
veselov;xetorthio/jedis;487.5;NA;0;3;3;0.0;1.33333333333;85;69;0;0;0;1;0.0;85;138;1;0;0;7;7;1;138;1;0
cpeeyush;xetorthio/jedis;159.0;NA;0;2;4;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;2;0;0
yangzhe1991;xetorthio/jedis;NA;0.0827777777778;1;3;0;0.000376222723853;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;2;0;0
pcchan;xetorthio/jedis;43.0;NA;0;2;1;0.0;1.0;2;0;0;0;0;1;0.0;2;0;1;0;0;1;1;1;2;1;0
jkrahul;xetorthio/jedis;130.666666667;NA;0;1;2;0.0;3.0;0;0;0;0;0;0;100;0;0;0;0;0;2;2;1;57;7;3
roblg;xetorthio/jedis;348.285714286;3.74638888889;1;5;4;0.000376222723853;1.75;29;4;0;0;0;1;0.0;29;8;1;0;0;2;2;1;33;11;0
rherget;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;4;0;0;0;0;1;0.0;4;0;1;0;0;1;1;1;0;0;0
be-hase;xetorthio/jedis;19.0;NA;0;1;1;0.0;1.0;25;12;0;0;0;1;0.0;25;24;1;0;0;3;3;1;37;9;0
saurabhygk;xetorthio/jedis;504.75;22.5947222222;1;3;4;0.000376222723853;3.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;4;1;0
shaofengniu;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;52;27;0;0;0;1;0.0;52;54;1;0;0;10;10;1;0;0;0
shmulik-klein;xetorthio/jedis;81.3333333333;NA;0;2;1;0.0;3.0;0;0;0;0;0;0;100;0;0;0;1;0;4;5;1;123;6;0
aCoder2013;xetorthio/jedis;59.3333333333;NA;0;1;1;0.0;3.0;0;0;0;0;0;0;100;0;0;0;0;0;2;2;1;6;0;0
w775450;xetorthio/jedis;145.0;NA;0;1;1;0.0;2.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
tague;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
tnm;xetorthio/jedis;287.5;NA;0;1;1;0.0;2.0;4;4;0;0;0;1;0.0;4;8;1;0;0;1;1;1;0;0;0
svetob;xetorthio/jedis;204.0;NA;0;2;2;0.0;1.0;67;4;0;0;0;1;0.0;67;8;1;0;0;2;2;1;71;18;0
tsc-nemeses;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;1;0;2;3;1;40;8;0
tom-martin;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;2;1;0;0;0;1;0.0;2;2;1;0;0;1;1;1;0;0;0
tuutep01;xetorthio/jedis;15.0;NA;0;2;1;0.0;1.0;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;2;0;0
vijaykramesh;xetorthio/jedis;886.0;NA;0;2;2;0.0;1.0;33;3;0;0;0;1;0.0;33;6;1;0;0;2;2;1;0;0;0
vdzhuvinov;xetorthio/jedis;130.0;NA;0;2;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;42;0;5
novice81;xetorthio/jedis;8.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;4;0;0
auhig;xetorthio/jedis;186.0;NA;0;2;1;0.0;1.0;35;0;0;0;0;1;0.0;35;0;1;0;0;1;1;1;35;18;0
gubatron;xetorthio/jedis;49.6666666667;19.7458333333;1;2;1;0.000376222723853;3.0;0;293;0;0;0;1;0.0;0;586;1;0;4;0;4;1;0;0;0
hrchu;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;4;0;0
zhupan;xetorthio/jedis;565.0;17.8366666667;1;2;1;0.000376222723853;2.0;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
spccold;xetorthio/jedis;31.5;NA;0;2;2;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;10;10;1;28;0;0
venkates;xetorthio/jedis;468.0;NA;0;1;1;0.0;4.0;250;1;0;0;0;1;0.0;250;2;1;2;0;2;4;1;0;0;0
argvk;xetorthio/jedis;25.0;NA;0;1;1;0.0;1.0;100;0;0;0;0;1;0.0;100;0;1;0;0;14;14;1;100;26;0
wjw465150;xetorthio/jedis;639.142857143;NA;0;3;3;0.0;2.33333333333;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
xqinghu;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;2;0;0
evenX86;xetorthio/jedis;NA;NA;0;1;0;0.0;NA;2;2;0;0;0;1;0.0;2;4;1;0;0;1;1;1;0;0;0
Hailei;xetorthio/jedis;37.3333333333;NA;0;3;1;0.0;3.0;144;12;0;0;0;1;0.0;144;24;1;0;0;4;4;1;0;0;0
zoz;xetorthio/jedis;NA;NA;0;3;0;0.0;NA;5;2;0;0;0;1;0.0;5;4;1;0;0;1;1;1;0;0;0
TimothyZhang023;xetorthio/jedis;498.0;2.69916666667;1;8;7;0.000376222723853;1.14285714286;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;2;0;0
hongyangAndroid;hongyangAndroid/okhttputils;NA;8.31657407407;9;0;0;0.0135135135135;NA;7;7;1;1;0;1;0.96875;413;246;288;7;0;37;44;17;319;18;2
swankjesse;hongyangAndroid/okhttputils;NA;NA;0;2;0;0.0;NA;135;86;17;16;0;1;0.866666666667;152;204;15;1;0;27;28;2;231;6;0
shenghaiyang;hongyangAndroid/okhttputils;NA;NA;0;1;0;0.0;NA;6;0;0;0;0;1;0.0;6;0;1;0;0;1;1;1;6;1;0
wswenyue;hongyangAndroid/okhttputils;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;0;0;0
wangrunxiang;hongyangAndroid/okhttputils;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;4;0;0
zengcanxiang;hongyangAndroid/okhttputils;NA;6.89555555556;1;2;0;0.0015015015015;NA;2;2;0;0;0;1;0.0;2;4;1;0;0;1;1;1;0;0;0
sameb;google/guice;243.885993485;7.42927402863;163;41;169;0.131770412288;1.81656804734;1066;460;84;45;20;14;0.952203929899;935849;4910484;1883;308;272;1510;2100;240;60572;7298;2090
cgruber;google/guice;137.269230769;9.17319444444;4;3;17;0.00323362974939;1.52941176471;22;13;1;1;5;2;0.952718676123;961967;155174;423;254;77;521;854;76;10981;1708;150
lukesandberg;google/guice;323.111111111;14.5436666667;5;1;7;0.00404203718674;1.28571428571;0;0;0;0;0;0;100;0;0;0;11;11;1060;1111;71;69823;6166;1449
cgdecker;google/guice;25.3888888889;1.00618055556;4;4;17;0.00323362974939;1.05882352941;8;0;2280;482;0;1;0.98623853211;2386;1088;218;3;16;102;121;15;576;98;20
mcculls;google/guice;405.610169492;10.7039814815;3;10;38;0.00242522231205;1.55263157895;30;30;7;2;0;1;0.993426458505;439;254;1217;2;0;63;65;12;395;30;5
tavianator;google/guice;298.086956522;NA;0;9;30;0.0;1.53333333333;141;60;128;69;0;1;0.984913793103;432;392;464;1;0;22;23;8;622;83;29
dorireuv;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;6;6;6;17;0;0
kluever;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;25;25;6;105;3;0
jccarrillo;google/guice;280.695652174;1.98625;2;13;8;0.0016168148747;2.875;1;0;6;2;1;1;0.4;24;56;5;0;0;4;4;5;43;2;3
iflan;google/guice;254.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;9;9;5;355;55;44
nglorioso;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;7;7;5;53;0;0
paulcreates;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;12;12;5;1829;171;64
dhanji;google/guice;167.5;NA;0;0;2;0.0;1.0;125;12;11;0;1;1;0.571428571429;139;24;7;0;0;5;5;4;151;37;1
ronshapiro;google/guice;56.5;6.96805555556;1;3;2;0.000808407437348;1.0;389;437;7;29;0;1;0.934782608696;417;954;46;0;0;9;9;4;67;0;6
timofeyb;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;3;0;27;30;4;2157;372;61
magnayn;google/guice;270.0;NA;0;1;1;0.0;2.0;147;18;0;0;0;1;0.0;147;36;1;1;0;5;6;3;143;19;0
NatMack;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;4;4;3;22;0;0
tlantz;google/guice;1612.0;NA;0;2;2;0.0;2.0;34;3;2;2;0;1;0.8;36;10;10;1;0;3;4;2;41;6;0
eatnumber1;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;5;0;7;12;2;866;106;15
timonvo;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;3;3;2;24;10;0
benmccann;google/guice;419.0;NA;0;1;1;0.0;2.0;69;5;0;0;0;1;0.0;69;10;1;0;0;33;33;1;74;3;2
backuitist;google/guice;65.5;NA;0;2;1;0.0;2.0;73;3;0;0;0;1;0.0;73;6;1;0;0;2;2;1;76;23;0
dimo414;google/guice;353.5;7.75975;10;1;26;0.00808407437348;1.23076923077;0;0;0;0;0;0;100;0;0;0;0;0;4;4;1;32;3;0
also;google/guice;NA;NA;0;1;0;0.0;NA;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;2;0;0
zlosch;google/guice;360.0;3.12472222222;1;2;2;0.000808407437348;2.0;0;0;0;0;0;0;100;0;0;0;0;0;3;3;1;6;0;0
cstamas;google/guice;65.0;NA;0;1;1;0.0;1.0;17;0;0;0;0;1;0.0;17;0;1;0;0;2;2;1;8;7;6
tbroyer;google/guice;619.833333333;NA;0;1;4;0.0;1.5;109;0;0;0;0;1;0.0;109;0;1;1;0;1;2;1;0;0;0
uweschaefer;google/guice;13.0;NA;0;1;1;0.0;1.0;1;1;0;0;0;1;0.0;1;2;1;0;0;1;1;1;2;0;0
ThrawnCA;google/guice;112.0;2.48083333333;1;5;3;0.000808407437348;2.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;7;0;0
sumitbhagwani;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;5;0;0
bulach;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;18;0;0
chr-g;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;6;0;1;7;1;8;0;0
cpovirk;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;2;0;1
srcLurker;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;9;9;1;245;31;2
cushon;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;258;0;129
jryu;google/guice;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;32;2;0
xiaosong520;Bigkoo/Android-PickerView;74.1896024465;10.1406907895;228;10;222;0.242038216561;1.47297297297;123;50;14;14;2;25;0.876404494382;7719;2602;267;23;2;442;470;240;57;5;4
saiwu-bigkoo;Bigkoo/Android-PickerView;47.4366197183;8.72655367232;118;0;110;0.125265392781;1.29090909091;1;1;22;16;6;2;0.960396039604;5705;5318;606;80;22;132;259;54;617;136;14
totcw;Bigkoo/Android-PickerView;35.8333333333;9.55722222222;2;1;5;0.00212314225053;1.2;241;108;3;1;3;4;0.927272727273;2054;1824;165;8;0;84;92;22;39;6;0
dengyuhan;Bigkoo/Android-PickerView;NA;NA;0;2;0;0.0;NA;1330;23;183;66;0;1;0.918918918919;1635;656;37;3;0;41;44;8;0;0;0
GreatGarlic;Bigkoo/Android-PickerView;46.0;NA;0;1;1;0.0;1.0;270;242;191;165;1;1;0.25;512;878;4;0;0;17;17;8;0;0;0
MankinChung;Bigkoo/Android-PickerView;235.5;NA;0;2;2;0.0;1.0;25;5;0;0;0;1;0.0;25;10;1;0;0;2;2;2;0;0;0
keluokeda;Bigkoo/Android-PickerView;90.0;NA;0;1;1;0.0;1.0;154;94;0;0;0;1;0.0;154;188;1;2;0;5;7;1;32;5;0
alamops;Bigkoo/Android-PickerView;NA;NA;0;1;0;0.0;NA;40;2;0;0;0;1;0.0;40;4;1;0;0;3;3;1;0;0;0
danielbenedykt;Bigkoo/Android-PickerView;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
GL-GIT-HUB;Bigkoo/Android-PickerView;61.0;NA;0;1;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
kyuyi;Bigkoo/Android-PickerView;NA;NA;0;1;0;0.0;NA;494;173;0;0;0;1;0.0;494;346;1;4;0;3;7;1;0;0;0
xuwab;Bigkoo/Android-PickerView;49.0;NA;0;2;1;0.0;1.0;31;0;0;0;0;1;0.0;31;0;1;2;0;2;4;1;0;0;0
eamonnmcmanus;google/auto;360.959143969;8.84597153123;201;45;244;0.12123039807;2.10655737705;305;222;0;5;19;4;0.943381180223;39031;17346;1254;253;50;1452;1770;311;14543;2013;246
cgruber;google/auto;278.979079498;7.03486817326;59;76;140;0.0355850422195;1.70714285714;32;3;232;164;22;3;0.937096774194;46011;27736;1240;132;14;444;595;190;3905;515;84
gk5885;google/auto;167.259259259;9.37231321839;58;48;56;0.0349819059107;1.44642857143;785;99;395;88;10;7;0.910873440285;26455;26506;561;260;90;492;955;166;107;32;12
ronshapiro;google/auto;258.622222222;8.90497635934;47;38;29;0.0283474065139;1.55172413793;569;194;178;124;11;2;0.900510204082;6079;10376;392;32;9;297;338;35;8133;610;478
netdpb;google/auto;394.428571429;8.43138888889;4;2;4;0.00241254523522;1.75;120;26;0;0;0;1;0.0;120;52;1;16;0;68;86;27;2345;287;37
rharter;google/auto;433.887323944;NA;0;7;22;0.0;3.22727272727;148;43;216;54;4;2;0.906474820144;7722;3460;139;40;3;116;163;22;3906;466;82
jmcampanini;google/auto;190.1;NA;0;3;4;0.0;2.5;752;401;4;4;0;1;0.5;756;810;4;1;0;18;19;14;0;0;0
kluever;google/auto;5.0;22.9725;1;0;9;0.000603136308806;1.0;43;43;0;0;0;1;0.0;43;86;1;0;0;31;45;8;4;0;0
kevinb9n;google/auto;826.473684211;18.3877777778;1;3;23;0.000603136308806;1.65217391304;0;0;0;0;0;0;100;0;0;0;0;0;13;13;6;0;0;0
cushon;google/auto;1636.0;NA;0;0;1;0.0;1.0;0;0;0;0;0;0;100;0;0;0;0;0;8;8;4;6;0;0
sameb;google/auto;693.25;NA;0;0;2;0.0;2.0;0;0;0;0;0;0;100;0;0;0;5;0;16;21;4;564;145;14
katre;google/auto;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;8;8;3;0;0;0
dankurka;google/auto;134.833333333;5.05277777778;1;3;2;0.000603136308806;3.0;44;2;0;0;0;1;0.0;44;4;1;0;0;3;3;3;63;10;0
cranberyxl;google/auto;62.6666666667;NA;0;1;1;0.0;3.0;29;16;0;0;0;1;0.0;29;32;1;0;0;4;4;2;2;0;0
ming13;google/auto;347.0;NA;0;1;1;0.0;1.0;137;139;0;0;0;1;0.0;137;278;1;0;0;3;3;2;0;0;0
chrisalice;google/auto;312.5;NA;0;2;3;0.0;1.33333333333;1;1;1;1;0;1;0.0;2;4;2;0;0;2;2;2;0;0;0
diwakergupta;google/auto;207.428571429;NA;0;2;2;0.0;3.5;1;0;2;1;0;1;0.0;3;2;2;0;0;2;2;2;0;0;0
JakeWharton;google/auto;467.91954023;15.3401851852;3;11;47;0.00180940892642;1.85106382979;1;1;1;1;0;1;0.989189189189;2;4;185;0;0;2;2;2;0;0;0
sarod;google/auto;203.0;NA;0;2;4;0.0;2.25;37;14;13;6;0;1;0.0;50;40;2;0;0;5;5;2;41;5;1
tbroyer;google/auto;436.724137931;10.6327777778;2;5;58;0.00120627261761;1.5;470;3;0;0;0;1;0.0;470;6;1;5;0;1;6;2;293;92;0
jart;google/auto;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;6;0;12;18;2;338;28;0
lukesandberg;google/auto;127.0;7.8825;1;4;2;0.000603136308806;1.5;0;0;0;0;0;0;100;0;0;0;0;0;5;5;2;0;0;0
PeteGillin;google/auto;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;2;2;2;0;0;0
rluble;google/auto;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;3;3;2;73;15;2
mlegy;google/auto;NA;NA;0;1;0;0.0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
lowasser;google/auto;411.857142857;NA;0;1;7;0.0;1.0;4;1;0;0;0;1;0.0;4;2;1;0;0;1;1;1;0;0;0
enefem;google/auto;NA;NA;0;0;0;0;NA;0;0;0;0;0;0;100;0;0;0;0;0;1;1;1;0;0;0
